goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalStruct/marshal_append-20         	 4061995	       288.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4179973	       286.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4109946	       287.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4208734	       283.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4122639	       284.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2087224	       549.2 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2234722	       535.3 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2391109	       521.3 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2540448	       464.0 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2348930	       532.4 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	  939091	      1239 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1157026	      1076 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1155 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1188 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	  893391	      1315 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1812516	       655.9 ns/op	     449 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1706974	       762.4 ns/op	     447 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1732647	       736.0 ns/op	     448 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1889652	       660.9 ns/op	     446 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1627750	       752.7 ns/op	     446 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2355006	       503.2 ns/op	     196 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2225346	       578.1 ns/op	     197 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2131417	       538.8 ns/op	     197 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2216973	       518.3 ns/op	     196 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2317813	       497.7 ns/op	     195 B/op	       3 allocs/op
PASS
ok  	github.com/33TU/json-experiment	213.337s
